Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Dina,2024-04-25 16:22:53,00:00:28,,Al-Baa’d La Yazhab L Al-Ma’zoun Maratayen_hook_02_16x9,HOOK,DefaultWidevineAndroidPhone,00:00:00,00:00:00,EG (Egypt)
Dina,2024-04-24 12:15:08,00:05:15,,SpongeBob SquarePants: Season 7: Someone's in the Kitchen with Sandy / The Inside Job (Episode 3),,DefaultWidevineAndroidPhone,00:05:15,00:05:15,EG (Egypt)
Dina,2024-04-18 09:49:01,00:08:46,,Marei the Primo,,DefaultWidevineAndroidPhone,00:08:45,00:08:45,EG (Egypt)
Dina,2024-04-11 00:46:35,00:08:09,,Friends: Season 8: The One with the Rumor (Episode 9),,DefaultWidevineAndroidPhone,00:08:39,00:08:39,EG (Egypt)
Dina,2024-04-11 00:43:40,00:02:52,,Friends: Season 8: The One with the Stripper (Episode 8),,DefaultWidevineAndroidPhone,00:21:43,00:21:43,EG (Egypt)
Dina,2024-04-11 00:42:56,00:00:12,Autoplayed: user action: None; ,Grace and Grace_hook_03_16x9,HOOK,DefaultWidevineAndroidPhone,00:00:01,00:00:01,EG (Egypt)
Dina,2024-04-09 02:37:31,00:01:56,,A Stand Worthy of Men,,DefaultWidevineAndroidPhone,01:17:58,01:17:58,EG (Egypt)
Dina,2024-03-28 10:39:59,00:09:56,,"Fuller House: Season 1: Our Very First Show, Again (Episode 1)",,DefaultWidevineAndroidPhone,00:09:55,00:09:55,EG (Egypt)
Dina,2024-03-28 10:38:07,00:00:06,,Cinemagraph: Game Dev Tycoon - Netflix,CINEMAGRAPH,DefaultWidevineAndroidPhone,00:00:06,00:00:06,EG (Egypt)
Dina,2024-03-15 17:55:14,00:00:04,Autoplayed: user action: None; ,The Back-Up Plan_hook_01_16x9,HOOK,LG 2016 MStar M2 Standard DTV Smart TV,00:00:04,00:00:04,EG (Egypt)
Dina,2024-03-06 09:03:41,00:00:01,Autoplayed: user action: None; ,You Are So Not Invited to My Bat Mitzvah,,Sony PS5,00:22:27,00:22:27,CA (Canada)
Dina,2024-03-06 09:03:33,00:00:05,Autoplayed: user action: None; ,Genre Specific Moment Clip: You Are So Not Invited to My Bat Mitzvah,HOOK,Sony PS5,00:00:05,00:00:05,CA (Canada)
Dina,2024-03-06 09:03:09,00:00:06,Autoplayed: user action: None; ,ALVINNN!!! And the Chipmunks: Season 1 - CLM 5,HOOK,Sony PS5,00:00:06,00:00:06,CA (Canada)
Dina,2024-03-04 22:08:34,00:00:19,Autoplayed: user action: None; ,Al Kabeer: Season 7: Episode 1,,LG 2016 MStar M2 Standard DTV Smart TV,00:00:35,00:00:35,EG (Egypt)
Dina,2024-03-04 21:31:48,00:36:27,Autoplayed: user action: User_Interaction; ,Al Kabeer: Season 6: Episode 30,,LG 2016 MStar M2 Standard DTV Smart TV,00:39:20,00:39:20,EG (Egypt)
Dina,2024-03-04 20:50:46,00:37:11,,Al Kabeer: Season 6: Episode 29,,LG 2016 MStar M2 Standard DTV Smart TV,00:40:33,00:40:33,EG (Egypt)
Dina,2024-03-03 22:01:57,00:02:27,,ALVINNN!!! And the Chipmunks: Season 1: Talking Teddy / Principal Interest (Episode 1),,TCL TV TCL 2021 FHD TV MT9221 Smart TV,00:02:33,00:02:33,CA (Canada)
Dina,2024-03-03 22:00:02,00:00:59,Autoplayed: user action: User_Interaction; ,ALVINNN!!! And the Chipmunks: Season 4: The Toy / Bloodline (Episode 1),,TCL TV TCL 2021 FHD TV MT9221 Smart TV,00:00:59,00:00:59,CA (Canada)
Dina,2024-03-02 23:28:22,00:00:10,Autoplayed: user action: None; ,Al Kabeer: Season 6: Episode 29,,LG 2016 MStar M2 Standard DTV Smart TV,00:00:36,Not latest view,EG (Egypt)
Dina,2024-03-02 22:56:02,00:32:07,,Al Kabeer: Season 6: Episode 28,,LG 2016 MStar M2 Standard DTV Smart TV,00:35:10,00:35:10,EG (Egypt)
Dina,2024-03-02 22:55:16,00:00:04,Autoplayed: user action: None; ,Al Kabeer: Season 7: Episode 30,,LG 2016 MStar M2 Standard DTV Smart TV,00:00:04,00:00:04,EG (Egypt)
Dina,2024-03-02 22:31:01,00:00:01,,Al Kabeer: Season 7: Episode 30,,LG 2016 MStar M2 Standard DTV Smart TV,00:00:12,Not latest view,EG (Egypt)
Dina,2024-03-02 22:29:59,00:00:01,,Al Kabeer: Season 7: Episode 29,,LG 2016 MStar M2 Standard DTV Smart TV,00:00:06,00:00:06,EG (Egypt)
Dina,2024-03-02 22:24:43,00:03:54,,Al Kabeer: Season 7: Episode 27,,LG 2016 MStar M2 Standard DTV Smart TV,00:06:57,00:06:57,EG (Egypt)
Dina,2024-03-02 22:23:51,00:00:01,Autoplayed: user action: None; ,Al Kabeer: Season 6: Episode 18,,LG 2016 MStar M2 Standard DTV Smart TV,00:16:18,00:16:18,EG (Egypt)
Dina,2024-02-24 12:05:53,00:00:11,Autoplayed: user action: None; ,Season 2 Inciting Incident Clip: AlRawabi School for Girls,HOOK,LG 2016 MStar M2 Standard DTV Smart TV,00:00:11,00:00:11,EG (Egypt)
Dina,2024-02-22 01:22:28,00:18:52,,Friends: Season 8: The One with the Stripper (Episode 8),,DefaultWidevineAndroidPhone,00:18:52,Not latest view,EG (Egypt)
Dina,2024-02-22 01:06:47,00:15:39,,Friends: Season 8: The One with the Stain (Episode 7),,DefaultWidevineAndroidPhone,00:21:54,00:21:54,EG (Egypt)
Dina,2024-02-21 00:25:40,00:18:07,,Messages from the Sea,,DefaultWidevineAndroidPhone,00:18:07,00:18:07,EG (Egypt)
Dina,2024-02-21 00:23:28,00:00:07,,Cinemagraph: Rainbow Six: SMOL,CINEMAGRAPH,DefaultWidevineAndroidPhone,00:00:07,00:00:07,EG (Egypt)
Dina,2024-02-15 02:13:54,00:06:18,,Friends: Season 8: The One with the Stain (Episode 7),,DefaultWidevineAndroidPhone,00:06:18,Not latest view,EG (Egypt)
Dina,2024-02-15 01:51:59,00:21:52,,Friends: Season 8: The One with the Halloween Party (Episode 6),,DefaultWidevineAndroidPhone,00:21:52,00:21:52,EG (Egypt)
Dina,2024-02-15 01:36:13,00:15:43,,Friends: Season 8: The One with Rachel's Date (Episode 5),,DefaultWidevineAndroidPhone,00:21:53,00:21:53,EG (Egypt)
Dina,2024-02-12 22:29:44,00:06:54,,Teer Enta,,DefaultWidevineAndroidPhone,00:07:28,00:07:28,EG (Egypt)
Dina,2024-02-11 22:00:38,01:14:08,,Jersey Girl,,LG 2016 MStar M2 Standard DTV Smart TV,01:14:08,01:14:08,EG (Egypt)
Dina,2024-02-11 21:17:03,00:37:27,,Home Alone,,LG 2016 MStar M2 Standard DTV Smart TV,00:37:29,00:37:29,EG (Egypt)
Dina,2024-01-31 21:50:15,01:01:49,Autoplayed: user action: None; ,The Proposal,,LG 2016 MStar M2 Standard DTV Smart TV,00:58:52,00:58:52,EG (Egypt)
Dina,2024-01-31 21:49:26,00:00:11,Autoplayed: user action: None; ,C-Section_hook_primary_16x9,HOOK,LG 2016 MStar M2 Standard DTV Smart TV,00:00:11,00:00:11,EG (Egypt)
Dina,2024-01-31 21:07:21,00:41:52,,My Way: Season 1: Episode 30,,LG 2016 MStar M2 Standard DTV Smart TV,00:46:30,00:46:30,EG (Egypt)
Dina,2024-01-31 20:25:19,00:35:12,Autoplayed: user action: User_Interaction; ,My Way: Season 1: Episode 29,,LG 2016 MStar M2 Standard DTV Smart TV,00:39:54,00:39:54,EG (Egypt)
Dina,2024-01-31 19:53:41,00:27:15,Autoplayed: user action: User_Interaction; ,My Way: Season 1: Episode 28,,LG 2016 MStar M2 Standard DTV Smart TV,00:48:29,00:48:29,EG (Egypt)
Dina,2024-01-30 18:35:40,00:15:47,Autoplayed: user action: User_Interaction; ,My Way: Season 1: Episode 28,,LG 2016 MStar M2 Standard DTV Smart TV,00:20:19,Not latest view,EG (Egypt)
Dina,2024-01-30 18:31:15,00:03:45,,My Way: Season 1: Episode 27,,LG 2016 MStar M2 Standard DTV Smart TV,00:48:17,00:48:17,EG (Egypt)
Dina,2024-01-28 21:10:06,00:41:35,Autoplayed: user action: User_Interaction; ,My Way: Season 1: Episode 27,,LG 2016 MStar M2 Standard DTV Smart TV,00:46:16,Not latest view,EG (Egypt)
Dina,2024-01-28 20:39:34,00:30:20,,My Way: Season 1: Episode 26,,LG 2016 MStar M2 Standard DTV Smart TV,00:34:58,00:34:58,EG (Egypt)
Dina,2024-01-28 19:59:29,00:36:23,,My Way: Season 1: Episode 25,,LG 2016 MStar M2 Standard DTV Smart TV,00:40:52,00:40:52,EG (Egypt)
Dina,2024-01-27 23:35:06,00:10:36,,My Way: Season 1: Episode 25,,LG 2016 MStar M2 Standard DTV Smart TV,00:15:13,Not latest view,EG (Egypt)
Dina,2024-01-27 23:02:19,00:32:31,,My Way: Season 1: Episode 24,,LG 2016 MStar M2 Standard DTV Smart TV,00:37:08,00:37:08,EG (Egypt)
Dina,2024-01-27 22:26:44,00:33:24,Autoplayed: user action: User_Interaction; ,My Way: Season 1: Episode 23,,LG 2016 MStar M2 Standard DTV Smart TV,00:38:04,00:38:04,EG (Egypt)
Dina,2024-01-27 21:49:54,00:36:36,,My Way: Season 1: Episode 22,,LG 2016 MStar M2 Standard DTV Smart TV,00:41:14,00:41:14,EG (Egypt)
Dina,2024-01-27 21:37:27,00:11:25,Autoplayed: user action: User_Interaction; ,My Way: Season 1: Episode 21,,LG 2016 MStar M2 Standard DTV Smart TV,00:38:23,00:38:23,EG (Egypt)
Dina,2024-01-27 20:39:00,00:10:57,,My Way: Season 1: Episode 21,,DefaultWidevineAndroidPhone,00:26:57,Not latest view,EG (Egypt)
Dina,2024-01-27 18:33:55,00:23:29,,My Way: Season 1: Episode 21,,DefaultWidevineAndroidPhone,00:27:42,Not latest view,EG (Egypt)
Dina,2024-01-27 11:38:48,00:23:11,Autoplayed: user action: User_Interaction; ,My Way: Season 1: Episode 20,,LG 2016 MStar M2 Standard DTV Smart TV,00:41:03,00:41:03,EG (Egypt)
Dina,2024-01-27 00:21:14,00:22:31,,You Are So Not Invited to My Bat Mitzvah,,LG 2016 MStar M2 Standard DTV Smart TV,00:22:31,Not latest view,EG (Egypt)
Dina,2024-01-27 00:18:14,00:00:06,Autoplayed: user action: None; ,Thieves in Thailand_hook_03_16x9,HOOK,LG 2016 MStar M2 Standard DTV Smart TV,00:00:06,00:00:06,EG (Egypt)
Dina,2024-01-26 11:19:34,00:17:36,Autoplayed: user action: User_Interaction; ,My Way: Season 1: Episode 20,,LG 2016 MStar M2 Standard DTV Smart TV,00:22:13,Not latest view,EG (Egypt)
Dina,2024-01-26 11:12:35,00:06:41,,My Way: Season 1: Episode 19,,LG 2016 MStar M2 Standard DTV Smart TV,00:41:37,00:41:37,EG (Egypt)
Dina,2024-01-24 20:21:16,01:02:35,Autoplayed: user action: User_Interaction; ,The Great Chinese Beans,,LG 2016 MStar M2 Standard DTV Smart TV,01:02:37,01:02:37,EG (Egypt)
Dina,2024-01-24 19:45:15,00:00:07,Autoplayed: user action: None; ,Beloved Grandfather_hook_01_16x9,HOOK,LG 2016 MStar M2 Standard DTV Smart TV,00:00:07,00:00:07,EG (Egypt)
Dina,2024-01-24 14:19:03,00:30:25,,My Way: Season 1: Episode 19,,LG 2016 MStar M2 Standard DTV Smart TV,00:35:02,Not latest view,EG (Egypt)
Dina,2024-01-24 14:08:33,00:10:15,,My Way: Season 1: Episode 18,,LG 2016 MStar M2 Standard DTV Smart TV,00:30:27,00:30:27,EG (Egypt)
Dina,2024-01-19 17:19:57,00:15:37,,My Way: Season 1: Episode 18,,LG 2016 MStar M2 Standard DTV Smart TV,00:20:14,Not latest view,EG (Egypt)
Dina,2024-01-19 17:04:26,00:08:24,Autoplayed: user action: User_Interaction; ,My Way: Season 1: Episode 17,,LG 2016 MStar M2 Standard DTV Smart TV,00:39:23,00:39:23,EG (Egypt)
Dina,2024-01-19 13:21:50,00:06:48,,Another One,,DefaultWidevineAndroidPhone,00:29:47,00:29:47,EG (Egypt)
Dina,2024-01-18 21:10:48,00:32:13,,My Way: Season 1: Episode 17,,LG 2016 MStar M2 Standard DTV Smart TV,00:31:50,Not latest view,EG (Egypt)
Dina,2024-01-15 16:33:35,00:31:34,Autoplayed: user action: User_Interaction; ,My Way: Season 1: Episode 16,,LG 2016 MStar M2 Standard DTV Smart TV,00:36:14,00:36:14,EG (Egypt)
Dina,2024-01-15 16:21:45,00:11:40,,My Way: Season 1: Episode 15,,LG 2016 MStar M2 Standard DTV Smart TV,00:30:59,00:30:59,EG (Egypt)
Dina,2024-01-15 15:26:27,00:11:41,,My Way: Season 1: Episode 15,,LG 2016 MStar M2 Standard DTV Smart TV,00:19:20,Not latest view,EG (Egypt)
Dina,2024-01-15 15:00:26,00:03:50,,My Way: Season 1: Episode 15,,LG 2016 MStar M2 Standard DTV Smart TV,00:07:35,Not latest view,EG (Egypt)
Dina,2024-01-15 10:07:26,00:35:59,,My Way: Season 1: Episode 14,,LG 2016 MStar M2 Standard DTV Smart TV,00:39:56,00:39:56,EG (Egypt)
Dina,2024-01-15 09:55:33,00:10:12,,My Way: Season 1: Episode 13,,LG 2016 MStar M2 Standard DTV Smart TV,00:32:56,00:32:56,EG (Egypt)
Dina,2024-01-14 20:41:07,00:18:21,Autoplayed: user action: User_Interaction; ,My Way: Season 1: Episode 13,,LG 2016 MStar M2 Standard DTV Smart TV,00:22:42,Not latest view,EG (Egypt)
Dina,2024-01-14 20:11:04,00:28:43,,My Way: Season 1: Episode 12,,LG 2016 MStar M2 Standard DTV Smart TV,00:32:51,00:32:51,EG (Egypt)
Dina,2024-01-10 20:21:35,00:27:58,,My Way: Season 1: Episode 11,,LG 2016 MStar M2 Standard DTV Smart TV,00:31:35,00:31:35,EG (Egypt)
Dina,2024-01-10 19:46:12,00:34:57,,My Way: Season 1: Episode 10,,LG 2016 MStar M2 Standard DTV Smart TV,00:39:14,00:39:14,EG (Egypt)
Dina,2024-01-10 19:16:21,00:29:38,,My Way: Season 1: Episode 9,,LG 2016 MStar M2 Standard DTV Smart TV,00:34:15,00:34:15,EG (Egypt)
Dina,2024-01-10 19:08:35,00:06:05,,My Way: Season 1: Episode 8,,LG 2016 MStar M2 Standard DTV Smart TV,00:34:21,00:34:21,EG (Egypt)
Dina,2024-01-10 19:07:22,00:00:16,,My Way: Season 1: Episode 9,,LG 2016 MStar M2 Standard DTV Smart TV,00:04:44,Not latest view,EG (Egypt)
Dina,2024-01-10 19:06:19,00:00:03,,My Way: Season 1: Episode 10,,LG 2016 MStar M2 Standard DTV Smart TV,00:05:50,Not latest view,EG (Egypt)
Dina,2024-01-10 19:05:41,00:00:03,Autoplayed: user action: None; ,My Way: Season 1: Episode 13,,LG 2016 MStar M2 Standard DTV Smart TV,00:00:03,Not latest view,EG (Egypt)
Dina,2024-01-10 18:56:34,00:08:41,Autoplayed: user action: User_Interaction; ,My Way: Season 1: Episode 13,,LG 2016 MStar M2 Standard DTV Smart TV,00:00:04,Not latest view,EG (Egypt)
Dina,2024-01-09 01:06:05,00:28:13,,My Way: Season 1: Episode 12,,LG 2016 MStar M2 Standard DTV Smart TV,00:32:50,Not latest view,EG (Egypt)
Dina,2024-01-09 00:38:55,00:26:57,,My Way: Season 1: Episode 11,,LG 2016 MStar M2 Standard DTV Smart TV,00:31:35,Not latest view,EG (Egypt)
Dina,2024-01-09 00:02:50,00:35:24,Autoplayed: user action: User_Interaction; ,My Way: Season 1: Episode 10,,LG 2016 MStar M2 Standard DTV Smart TV,00:39:19,Not latest view,EG (Egypt)
Dina,2024-01-08 23:33:00,00:29:36,,My Way: Season 1: Episode 9,,LG 2016 MStar M2 Standard DTV Smart TV,00:34:13,Not latest view,EG (Egypt)
Dina,2024-01-08 23:05:26,00:27:24,,My Way: Season 1: Episode 8,,LG 2016 MStar M2 Standard DTV Smart TV,00:34:20,Not latest view,EG (Egypt)
Dina,2024-01-08 22:33:27,00:31:36,,My Way: Season 1: Episode 7,,LG 2016 MStar M2 Standard DTV Smart TV,00:35:43,00:35:43,EG (Egypt)
Dina,2024-01-08 11:55:01,00:28:17,Autoplayed: user action: User_Interaction; ,My Way: Season 1: Episode 6,,LG 2016 MStar M2 Standard DTV Smart TV,00:32:56,00:32:56,EG (Egypt)
Dina,2024-01-08 11:09:57,00:37:15,,My Way: Season 1: Episode 5,,LG 2016 MStar M2 Standard DTV Smart TV,00:37:21,00:37:21,EG (Egypt)
Dina,2024-01-08 00:30:53,00:27:16,,My Way: Season 1: Episode 4,,LG 2016 MStar M2 Standard DTV Smart TV,00:31:53,00:31:53,EG (Egypt)
Dina,2024-01-08 00:02:02,00:28:38,,My Way: Season 1: Episode 3,,LG 2016 MStar M2 Standard DTV Smart TV,00:33:15,00:33:15,EG (Egypt)
Dina,2024-01-07 23:04:10,00:34:29,Autoplayed: user action: User_Interaction; ,My Way: Season 1: Episode 2,,LG 2016 MStar M2 Standard DTV Smart TV,00:33:46,00:33:46,EG (Egypt)
Dina,2024-01-07 22:13:35,00:49:40,,Dubai Bling: Season 2: Marry me? (Episode 8),,LG 2016 MStar M2 Standard DTV Smart TV,00:49:45,00:49:45,EG (Egypt)
Dina,2024-01-07 21:52:56,00:20:24,,Dubai Bling: Season 2: Set the stage on fire (Episode 7),,LG 2016 MStar M2 Standard DTV Smart TV,00:47:10,00:47:10,EG (Egypt)
Dina,2024-01-06 21:08:44,00:26:44,,Dubai Bling: Season 2: Set the stage on fire (Episode 7),,LG 2016 MStar M2 Standard DTV Smart TV,00:26:49,Not latest view,EG (Egypt)
Dina,2024-01-06 20:24:59,00:43:31,Autoplayed: user action: User_Interaction; ,Dubai Bling: Season 2: Undercover in India (Episode 6),,LG 2016 MStar M2 Standard DTV Smart TV,00:47:52,00:47:52,EG (Egypt)
Dina,2024-01-05 20:34:37,01:41:04,,Pretty Woman,,LG 2016 MStar M2 Standard DTV Smart TV,01:57:41,01:57:41,EG (Egypt)
Dina,2024-01-05 19:37:44,00:00:59,,Gaafar El Omda: Season 1_hook_primary_16x9,HOOK,LG 2016 MStar M2 Standard DTV Smart TV,00:00:59,00:00:59,EG (Egypt)
Dina,2024-01-05 19:37:04,00:00:36,,The Tourist_hook_primary_16x9,HOOK,LG 2016 MStar M2 Standard DTV Smart TV,00:00:36,00:00:36,EG (Egypt)
Dina,2024-01-05 19:35:37,00:01:19,Autoplayed: user action: None; ,Lock Your Girls In_hook_primary_16x9,HOOK,LG 2016 MStar M2 Standard DTV Smart TV,00:01:19,00:01:19,EG (Egypt)
Dina,2024-01-05 17:47:35,01:45:02,,Taslim Ahali ,,LG 2016 MStar M2 Standard DTV Smart TV,01:44:32,01:44:32,EG (Egypt)
Dina,2024-01-03 22:48:18,00:30:26,Autoplayed: user action: User_Interaction; ,My Way: Season 1: Episode 1,,LG 2016 MStar M2 Standard DTV Smart TV,00:32:33,00:32:33,EG (Egypt)
Dina,2023-12-31 12:43:01,00:16:00,,Taslim Ahali ,,DefaultWidevineAndroidPhone,00:47:17,Not latest view,EG (Egypt)
Dina,2023-12-31 12:40:31,00:02:25,,Taslim Ahali ,,DefaultWidevineAndroidPhone,00:31:23,Not latest view,EG (Egypt)
Dina,2023-12-30 22:16:44,00:28:58,,Taslim Ahali ,,DefaultWidevineAndroidPhone,00:28:58,Not latest view,EG (Egypt)
Dina,2023-12-30 19:37:31,00:04:24,,Dubai Bling: Season 2: Undercover in India (Episode 6),,LG 2016 MStar M2 Standard DTV Smart TV,00:04:23,Not latest view,EG (Egypt)
Dina,2023-12-30 18:51:40,00:45:45,,Dubai Bling: Season 2: Start from Scratch (Episode 5),,LG 2016 MStar M2 Standard DTV Smart TV,00:45:50,00:45:50,EG (Egypt)
Dina,2023-12-30 18:04:14,00:47:20,,Dubai Bling: Season 2: Pretty peace? (Episode 4),,LG 2016 MStar M2 Standard DTV Smart TV,00:47:25,00:47:25,EG (Egypt)
Dina,2023-12-30 16:59:43,00:45:17,,"Dubai Bling: Season 2: To tea, or not to tea? (Episode 3)",,LG 2016 MStar M2 Standard DTV Smart TV,00:45:30,00:45:30,EG (Egypt)
Dina,2023-12-30 16:01:38,00:48:29,,Dubai Bling: Season 2: Don't mess with the besties (Episode 2),,LG 2016 MStar M2 Standard DTV Smart TV,00:48:36,00:48:36,EG (Egypt)
Dina,2023-12-30 15:48:45,00:12:35,,Dubai Bling: Season 2: Back in Bling Town! (Episode 1),,LG 2016 MStar M2 Standard DTV Smart TV,00:45:29,00:45:29,EG (Egypt)
Dina,2023-12-29 10:54:33,00:13:30,,Bibo & Beshir,,LG 2016 MStar M2 Standard DTV Smart TV,00:13:33,00:13:33,EG (Egypt)
Dina,2023-12-29 10:35:32,00:17:03,Autoplayed: user action: User_Interaction; ,Pretty Woman,,LG 2016 MStar M2 Standard DTV Smart TV,00:17:03,Not latest view,EG (Egypt)
Dina,2023-12-28 23:56:26,01:51:24,,Abu Ali,,LG 2016 MStar M2 Standard DTV Smart TV,01:51:26,01:51:26,EG (Egypt)
Dina,2023-12-28 17:24:16,00:32:48,,Dubai Bling: Season 2: Back in Bling Town! (Episode 1),,LG 2016 MStar M2 Standard DTV Smart TV,00:32:53,Not latest view,EG (Egypt)
Dina,2023-12-28 16:51:29,00:32:39,,Dubai Bling: Season 1: Hitched (Episode 8),,LG 2016 MStar M2 Standard DTV Smart TV,00:46:47,00:46:47,EG (Egypt)
Dina,2023-12-27 20:02:50,00:13:57,,Dubai Bling: Season 1: Hitched (Episode 8),,LG 2016 MStar M2 Standard DTV Smart TV,00:14:09,Not latest view,EG (Egypt)
Dina,2023-12-27 18:51:56,00:27:10,,Dubai Bling: Season 1: Too late? (Episode 7),,LG 2016 MStar M2 Standard DTV Smart TV,00:42:42,00:42:42,EG (Egypt)
Dina,2023-12-27 18:51:13,00:00:15,Autoplayed: user action: None; ,The Impossible_hook_primary_16x9,HOOK,LG 2016 MStar M2 Standard DTV Smart TV,00:00:16,00:00:16,EG (Egypt)
Dina,2023-12-25 01:51:45,00:15:12,,Dubai Bling: Season 1: Too late? (Episode 7),,LG 2016 MStar M2 Standard DTV Smart TV,00:15:18,Not latest view,EG (Egypt)
Dina,2023-12-25 00:58:38,00:40:48,Autoplayed: user action: User_Interaction; ,Dubai Bling: Season 1: Sail Away (Episode 6),,LG 2016 MStar M2 Standard DTV Smart TV,00:40:57,00:40:57,EG (Egypt)
Dina,2023-12-25 00:13:13,00:45:17,,Dubai Bling: Season 1: Ticking Time Bomb (Episode 5),,LG 2016 MStar M2 Standard DTV Smart TV,00:45:23,00:45:23,EG (Egypt)
Dina,2023-12-24 23:47:23,00:25:38,,Dubai Bling: Season 1: Love Season (Episode 4),,LG 2016 MStar M2 Standard DTV Smart TV,00:49:25,00:49:25,EG (Egypt)
Dina,2023-12-24 21:06:40,00:23:47,,Dubai Bling: Season 1: Love Season (Episode 4),,LG 2016 MStar M2 Standard DTV Smart TV,00:23:47,Not latest view,EG (Egypt)
Dina,2023-12-24 20:17:45,00:48:18,,Dubai Bling: Season 1: Closed Circle (Episode 3),,LG 2016 MStar M2 Standard DTV Smart TV,00:48:05,00:48:05,EG (Egypt)
Dina,2023-12-24 19:25:37,00:47:01,Autoplayed: user action: User_Interaction; ,Dubai Bling: Season 1: Rumor has it (Episode 2),,LG 2016 MStar M2 Standard DTV Smart TV,00:46:39,00:46:39,EG (Egypt)
Dina,2023-12-24 10:39:01,00:46:27,,"Dubai Bling: Season 1: Habibi, welcome to Dubai (Episode 1)",,LG 2016 MStar M2 Standard DTV Smart TV,00:45:37,00:45:37,EG (Egypt)
Dina,2023-12-23 19:22:21,00:00:10,Autoplayed: user action: None; ,Season 1 Recap: Dubai Bling,RECAP,LG 2016 MStar M2 Standard DTV Smart TV,00:00:10,00:00:10,EG (Egypt)
Dina,2023-12-23 18:46:21,00:35:01,Autoplayed: user action: User_Interaction; ,Leave the World Behind,,LG 2016 MStar M2 Standard DTV Smart TV,00:34:35,00:34:35,EG (Egypt)
Dina,2023-12-23 18:46:08,00:00:03,Autoplayed: user action: None; ,Leave the World Behind,,LG 2016 MStar M2 Standard DTV Smart TV,00:00:03,Not latest view,EG (Egypt)
